,message,ID
14,lots of cops hopefully they dont do anything stupid #POKRallyinthepark #POKpeace,232
20,lots of cops but they cant stop us #POK,276
17:24:00,we have to hold our officials accountable for their corruption #pok,316
17:25:00,rt @ourcountryourrights we have to hold our officials accountable for their corruption #pok,332
84,POSSIBLE FIRE-REPORT,1124
18:45:22,smoke from first two floors of dancing dolphin apartments. fire officials on site. #hi,1229
18:46:21,fire officials report they do not yet know if apartment is currently occupied. #hi,1278
111,Police are flooding the scene,1513
18:55:05,as a precaution fire officials have ordered nearby buildings evacuated. police are going door to door to clear area. #hi,1522
113,Oh man they are evacuating the nearby buildings #abilafire,1524
18:57:05,rt @homelandilluminations as a precaution fire officials have ordered nearby buildings evacuated. police are going door to door to clear area. #hi,1561
19:05:00,now officially late #firstdatedisaster,1694
19:10:00,more fire trucks at scene.  officials report fire is not under control. #hi,1757
141,They are announcing more evacuations not sure if i'll be able to keep seeing anything,1941
19:23:00,officials have announced the expansion of evacuation area. #hi,1958
19:25:00,rt @homelandilluminations officials have announced the expansion of evacuation area. #hi,1998
19:25:00,fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2000
19:26:00,rt @homelandilluminations fire officials have expanded evacuation area. police are going door to door ordering residents to leave #hi,2027
19:42:28,government officials are telling people to please stay away from the crime scene. #kronosstar,2357
19:43:37,officials are asking public to be patient while apd resolves the issue. #kronosstar,2413
19:44:28,rt @kronosstar government officials are telling people to please stay away from the crime scene. #kronosstar,2469
19:45:37,rt @kronosstar officials are asking public to be patient while apd resolves the issue. #kronosstar,2533
218,cops are leaving without violence #peacerules #POK,2596
221,the cops are scared of the people rising up against the system #POK,2647
19:55:00,big official truck shows up.  not sure who these guys are  #tag,2729
19:58:00,rt @megaman big official truck shows up.  not sure who these guys are  #tag,2783
243,do you trust your government? #POK,2952
20:25:00,officials report fire might be under control. #hi,3270
20:28:42,officials state fire is under control. #hi,3323
20:29:42,rt @homelandilluminations officials state fire is under control. #hi,3333
20:50:00,fire officials have begun control measures on surrounding buildings. #hi,3594
20:51:00,rt @homelandilluminations fire officials have begun control measures on surrounding buildings. #hi,3609
21:15:00,"fire officials still on site, report fire is under control. #hi",3815
21:16:00,"rt @homelandilluminations fire officials still on site, report fire is under control. #hi",3833
294,everybody's safe cops got the bad guys and the hostages are safe #standoff,3848
21:22:00,officials report fire is controlled.  no word yet on when nearby residents can return to their homes. #hi,3918
21:23:00,rt @homelandilluminations officials report fire is controlled.  no word yet on when nearby residents can return to their homes. #hi,3931
